Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
929745,https://www.tiktok.com/@miiw.w1/video/7611831948196990226,"มื้อง่ายๆ ของสายแซ่บ @I Love Yumyum

#ยํายําจัมโบ้รสต้มยํากุ้งน้ําข้น #อิ่มคําโตจัมโบ้คักหลาย #อิ่มความสุขอร่อยโดนใจ #tiktokพากิน #กินตามtiktok",9,,,,138,,,
1315227,https://www.tiktok.com/@tortorpardak/video/7610675052144495892,"เมนูง่ายๆ แต่แซ่บคักๆ อิ่มคำโตจัมโบ้คักหลาย ซองนี้เอาอยู่
@iloveyumyumth
#ยำยำจัมโบ้รสต้มยำกุ้งน้ำข้น #อิ่มคําโตจัมโบ้คักหลาย #อิ่มความสุขอร่อยโดนใจ",208,1,1,,2197,,,
