Influencer ID,Post URL,Post Caption,Likes,Comments,Shares,Saves,Views,Impressions,Reach,Post Image URL
274021,https://www.tiktok.com/@itspeacheryas/video/7583057045805419797,"ช่วงนี้ผิวตัวหมองง่ายมาก แต่พอได้ลองสครับแตงโมของ
ABONNE' คือช่วยชีวิตเลย
ใช้ตอนอาบน้ำขั้นตอนเดียว ได้ทั้งสครับ + บำรุง ผิวนุ่มขึ้นแบบรู้สึกได้
กลิ่นหอมแตงโมมาก 🍉ไม่บาดผิวเลย ฟองนุ่ม ล้างแล้วไม่แห้งตึงใครอยากลอง แวะหาซื้อได้ที่ 7-Eleven ใกล้บ้านได้เลย #ผิวสวยทันใช้ซื้อได้ทันใจที่7Eleven #เอบอนเน่ที่สุดของความซอฟต์ #สครับเกลือ #ของดีเซเว่น #สครับแตงโมเอบอนเน่",63,5,1,7,,,,
611206,https://www.tiktok.com/@adinaw_j/video/7587327506588421396,"อาบน้ำแล้วผิวใสขึ้นทันทีจริง! สครับแตงโมต้องมี
ติดบ้าน🫧🛁🍉

#ผิวสวยทันใช้ซื้อได้ทันใจที่7Eleven #เอบอนเน่ที่สุดของความซอฟต์
#สครับเกลือ
#ของดีเซเว่น
#สครับแตงโมเอบอนเน่",269,1,9,43,,,,
